         30372981 function calls (30365541 primitive calls) in 35.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1277716    0.332    0.000    0.439    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
    29998    0.032    0.000    0.383    0.000 C:\Users\hjmne\PycharmProjects\chest\utilities.py:193(get_fx_rate)
    35575    0.137    0.000    0.382    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\csv.py:107(__next__)
   159610    0.298    0.000    0.353    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:572(condition)
   119992    0.068    0.000    0.311    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\locale.py:479(_parse_localename)
   120658    0.238    0.000    0.271    0.000 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:711(post_journal_entry_to_subspace)
   635099    0.140    0.000    0.250    0.000 <frozen abc>:117(__instancecheck__)
   119992    0.201    0.000    0.244    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\locale.py:396(normalize)
   158774    0.186    0.000    0.223    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:576(tz)
    35722    0.216    0.000    0.219    0.000 {built-in method builtins.next}
   318802    0.208    0.000    0.208    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\common.py:121(classes)
     3393    0.203    0.000    0.203    0.000 C:\Users\hjmne\PycharmProjects\chest\equity_domain.py:40(<listcomp>)
     1364    0.009    0.000    0.198    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4050(__getitem__)
   158774    0.198    0.000    0.198    0.000 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:441(__init__)
   119992    0.190    0.000    0.190    0.000 {method 'groupdict' of 're.Match' objects}
  2075348    0.187    0.000    0.187    0.000 {built-in method builtins.getattr}
        1    0.033    0.033    0.179    0.179 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:94(sort_events)
   158774    0.177    0.000    0.177    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:103(tz_to_dtype)
     6786    0.126    0.000    0.153    0.000 {method 'sort' of 'list' objects}
   158774    0.149    0.000    0.149    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\tools\datetimes.py:126(_guess_datetime_format_for_array)
